## net.sf.picard.metrics.StringHeader
# net.sf.picard.sam.MarkDuplicates INPUT=/nfs/sf10/IL37/outgoing/100528_IL37_4783/Data/Intensities/Bustard1.6.0a14_10-06-2010_RTA/GERALD_10-06-2010_RTA/archive/4783_5.bam OUTPUT=/lustre/scratch103/sanger/gq1/mkduplicate/4783_5_mk_optical3.bam METRICS_FILE=/lustre/scratch103/sanger/gq1/mkduplicate/3/4783_5_metrics_optical.txt REMOVE_DUPLICATES=false ASSUME_SORTED=true READ_NAME_REGEX=[a-zA-Z0-9_]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).* OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 TMP_DIR=/lustre/scratch103/sanger/gq1/mkduplicate/3 VERBOSITY=ERROR VALIDATION_STRINGENCY=SILENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000
## net.sf.picard.metrics.StringHeader
# Started on: Fri Jun 18 14:11:36 BST 2010

## METRICS CLASS	net.sf.picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	957698	15017382	1744768	610477	2112541	447764	0.156024	58799283

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.026979
2.0	1.822484
3.0	2.438686
4.0	2.916
5.0	3.285731
6.0	3.572126
7.0	3.79397
8.0	3.965811
9.0	4.09892
10.0	4.202028
11.0	4.281895
12.0	4.343761
13.0	4.391683
14.0	4.428803
15.0	4.457557
16.0	4.47983
17.0	4.497082
18.0	4.510446
19.0	4.520798
20.0	4.528817
21.0	4.535028
22.0	4.539839
23.0	4.543566
24.0	4.546453
25.0	4.548689
26.0	4.550421
27.0	4.551763
28.0	4.552802
29.0	4.553607
30.0	4.554231
31.0	4.554714
32.0	4.555088
33.0	4.555378
34.0	4.555603
35.0	4.555776
36.0	4.555911
37.0	4.556015
38.0	4.556096
39.0	4.556159
40.0	4.556207
41.0	4.556245
42.0	4.556274
43.0	4.556297
44.0	4.556314
45.0	4.556328
46.0	4.556338
47.0	4.556346
48.0	4.556352
49.0	4.556357
50.0	4.556361
51.0	4.556364
52.0	4.556366
53.0	4.556368
54.0	4.556369
55.0	4.55637
56.0	4.556371
57.0	4.556372
58.0	4.556372
59.0	4.556373
60.0	4.556373
61.0	4.556373
62.0	4.556373
63.0	4.556374
64.0	4.556374
65.0	4.556374
66.0	4.556374
67.0	4.556374
68.0	4.556374
69.0	4.556374
70.0	4.556374
71.0	4.556374
72.0	4.556374
73.0	4.556374
74.0	4.556374
75.0	4.556374
76.0	4.556374
77.0	4.556374
78.0	4.556374
79.0	4.556374
80.0	4.556374
81.0	4.556374
82.0	4.556374
83.0	4.556374
84.0	4.556374
85.0	4.556374
86.0	4.556374
87.0	4.556374
88.0	4.556374
89.0	4.556374
90.0	4.556374
91.0	4.556374
92.0	4.556374
93.0	4.556374
94.0	4.556374
95.0	4.556374
96.0	4.556374
97.0	4.556374
98.0	4.556374
99.0	4.556374
100.0	4.556374

