# /software/hpag/biobambam2/2.0.8/bin/bamstreamingmarkduplicates level=0 verbose=0 tmpfile=/nfs/sf54/ILorHSany_sf54/analysis/150721_HS38_16960_A_C716BANXX/Data/Intensities/BAM_basecalls_20150725-085443/no_cal/archive/lane1/bmdfopt_16960_1#0.tmp M=/nfs/sf54/ILorHSany_sf54/analysis/150721_HS38_16960_A_C716BANXX/Data/Intensities/BAM_basecalls_20150725-085443/no_cal/archive/lane1/16960_1#0.markdups_metrics.txt

##METRICS
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
unknown	268961	6191415	276197	20176	79369	338	0.0141414	240428087

## HISTOGRAM
BIN	VALUE
1	1.00005
2	1.97468
3	2.92454
4	3.85024
5	4.75241
6	5.63164
7	6.48852
8	7.32362
9	8.13749
10	8.93066
11	9.70367
12	10.457
13	11.1912
14	11.9068
15	12.6041
16	13.2837
17	13.9461
18	14.5916
19	15.2207
20	15.8338
21	16.4313
22	17.0136
23	17.5811
24	18.1342
25	18.6733
26	19.1986
27	19.7106
28	20.2095
29	20.6958
30	21.1697
31	21.6316
32	22.0817
33	22.5203
34	22.9479
35	23.3645
36	23.7706
37	24.1663
38	24.552
39	24.9279
40	25.2942
41	25.6512
42	25.9991
43	26.3382
44	26.6687
45	26.9907
46	27.3046
47	27.6105
48	27.9086
49	28.1991
50	28.4823
51	28.7582
52	29.0272
53	29.2893
54	29.5447
55	29.7936
56	30.0363
57	30.2727
58	30.5031
59	30.7277
60	30.9466
61	31.1599
62	31.3678
63	31.5704
64	31.7678
65	31.9602
66	32.1478
67	32.3305
68	32.5086
69	32.6822
70	32.8514
71	33.0163
72	33.177
73	33.3336
74	33.4862
75	33.6349
76	33.7799
77	33.9212
78	34.0588
79	34.193
80	34.3238
81	34.4512
82	34.5754
83	34.6965
84	34.8145
85	34.9294
86	35.0415
87	35.1507
88	35.2571
89	35.3608
90	35.4619
91	35.5604
92	35.6564
93	35.75
94	35.8412
95	35.93
96	36.0166
97	36.101
98	36.1833
99	36.2635
100	36.3416
