read group,format,segment index,segment label,is required,is trimmed,num input reads,num prefiltered reads,num failed reads,num discarded reads,num filtered reads,num trimmed reads,num failures,num matches,num matched bases
TT,trim TT preamble and native adapter and filter lengths,0,preamble,False,True,272192614,0,25948809,0,0,246243805,25946434,246243805,1502368892
TT,trim TT preamble and native adapter and filter lengths,1,insert,True,False,272192614,0,25948809,0,0,246243805,2375,246243805,75025319999
TT,trim TT preamble and native adapter and filter lengths,2,A-tailing and native adapter,False,True,272192614,0,25948809,0,0,246243805,0,150244800,4738222255
TT,trim TT preamble and native adapter and filter lengths,3,end,False,True,272192614,0,25948809,0,0,246243805,0,20653209,163951858
UGAv3-1000,no trimming,0,insert,False,False,2559,0,1747,0,0,0,1747,812,230054
UGAv3-1001,no trimming,0,insert,False,False,3763,0,2765,0,0,0,2765,998,288529
UGAv3-1002,no trimming,0,insert,False,False,15078,0,5528,0,0,0,5528,9550,2909044
UGAv3-1003,no trimming,0,insert,False,False,11957,0,7570,0,0,0,7570,4387,1292759
UGAv3-1004,no trimming,0,insert,False,False,21345,0,9911,0,0,0,9911,11434,3455189
UGAv3-1005,no trimming,0,insert,False,False,4475,0,3346,0,0,0,3346,1129,329777
UGAv3-1006,no trimming,0,insert,False,False,78904,0,73984,0,0,0,73984,4920,1453543
UGAv3-1007,no trimming,0,insert,False,False,22883,0,15370,0,0,0,15370,7513,2244896
UGAv3-1008,no trimming,0,insert,False,False,8073,0,2660,0,0,0,2660,5413,1596746
UGAv3-1009,no trimming,0,insert,False,False,2800,0,1663,0,0,0,1663,1137,337430
UGAv3-1010,no trimming,0,insert,False,False,35684,0,28096,0,0,0,28096,7588,1962660
UGAv3-1011,no trimming,0,insert,False,False,17210,0,5687,0,0,0,5687,11523,3485451
UGAv3-1012,no trimming,0,insert,False,False,5791,0,2038,0,0,0,2038,3753,1100042
UGAv3-1013,no trimming,0,insert,False,False,5125,0,1223,0,0,0,1223,3902,1157002
UGAv3-1014,no trimming,0,insert,False,False,6809,0,2592,0,0,0,2592,4217,1244552
UGAv3-1015,no trimming,0,insert,False,False,5739,0,2251,0,0,0,2251,3488,1018004
UGAv3-1016,no trimming,0,insert,False,False,2893,0,1609,0,0,0,1609,1284,375425
UGAv3-1017,no trimming,0,insert,False,False,21182,0,14672,0,0,0,14672,6510,1905304
UGAv3-1018,no trimming,0,insert,False,False,18343,0,6901,0,0,0,6901,11442,3491005
UGAv3-1021,no trimming,0,insert,False,False,5809,0,1554,0,0,0,1554,4255,1260371
UGAv3-1022,no trimming,0,insert,False,False,11664,0,7975,0,0,0,7975,3689,1053941
UGAv3-1026,no trimming,0,insert,False,False,9007,0,6075,0,0,0,6075,2932,849674
UGAv3-1029,no trimming,0,insert,False,False,23355,0,12674,0,0,0,12674,10681,3170508
UGAv3-1037,no trimming,0,insert,False,False,27530,0,21318,0,0,0,21318,6212,1765248
UGAv3-1042,no trimming,0,insert,False,False,10701,0,5281,0,0,0,5281,5420,1544892
UGAv3-1043,no trimming,0,insert,False,False,10888,0,3675,0,0,0,3675,7213,2121452
UGAv3-1047,no trimming,0,insert,False,False,19196,0,13538,0,0,0,13538,5658,1608955
UGAv3-1056,no trimming,0,insert,False,False,7890,0,5510,0,0,0,5510,2380,694948
UGAv3-1071,no trimming,0,insert,False,False,12641,0,3597,0,0,0,3597,9044,2666084
UGAv3-1078,no trimming,0,insert,False,False,12049,0,3965,0,0,0,3965,8084,2308181
UGAv3-1079,no trimming,0,insert,False,False,2662,0,1378,0,0,0,1378,1284,377121
UGAv3-1089,no trimming,0,insert,False,False,5534,0,3068,0,0,0,3068,2466,728329
UGAv3-1090,no trimming,0,insert,False,False,10860,0,6271,0,0,0,6271,4589,1157751
UGAv3-1099,no trimming,0,insert,False,False,2952,0,1164,0,0,0,1164,1788,530057
UGAv3-1103,no trimming,0,insert,False,False,13504,0,12719,0,0,0,12719,785,223995
UGAv3-1114,no trimming,0,insert,False,False,1627,0,757,0,0,0,757,870,251166
UGAv3-1128,no trimming,0,insert,False,False,12192,0,9041,0,0,0,9041,3151,889123
UGAv3-1134,no trimming,0,insert,False,False,7620,0,2512,0,0,0,2512,5108,1464730
UGAv3-1135,no trimming,0,insert,False,False,46642,0,44902,0,0,0,44902,1740,457873
UGAv3-1141,no trimming,0,insert,False,False,12731,0,12123,0,0,0,12123,608,195399
UGAv3-1142,no trimming,0,insert,False,False,27124,0,23342,0,0,0,23342,3782,1098864
UGAv3-1149,no trimming,0,insert,False,False,24395,0,20633,0,0,0,20633,3762,1069705
UGAv3-1154,no trimming,0,insert,False,False,5664,0,1627,0,0,0,1627,4037,1198726
UGAv3-1162,no trimming,0,insert,False,False,1977,0,833,0,0,0,833,1144,334785
UGAv3-1190,no trimming,0,insert,False,False,14956,0,10625,0,0,0,10625,4331,1234393
UGAv3-1193,no trimming,0,insert,False,False,3978,0,2495,0,0,0,2495,1483,438570
