read group,code,format,segment,reason,failed read count,total read count
TT,8,trim TT preamble and native adapter and filter lengths,preamble,rsq file,25946434,272192614
TT,101,trim TT preamble and native adapter and filter lengths,insert,sequence was too short,1003,272192614
TT,102,trim TT preamble and native adapter and filter lengths,insert,sequence was too long,1372,272192614
UGAv3-1000,8,no trimming,insert,rsq file,1747,2559
UGAv3-1001,8,no trimming,insert,rsq file,2765,3763
UGAv3-1002,8,no trimming,insert,rsq file,5528,15078
UGAv3-1003,8,no trimming,insert,rsq file,7570,11957
UGAv3-1004,8,no trimming,insert,rsq file,9911,21345
UGAv3-1005,8,no trimming,insert,rsq file,3346,4475
UGAv3-1006,8,no trimming,insert,rsq file,73984,78904
UGAv3-1007,8,no trimming,insert,rsq file,15370,22883
UGAv3-1008,8,no trimming,insert,rsq file,2660,8073
UGAv3-1009,8,no trimming,insert,rsq file,1663,2800
UGAv3-1010,8,no trimming,insert,rsq file,28096,35684
UGAv3-1011,8,no trimming,insert,rsq file,5687,17210
UGAv3-1012,8,no trimming,insert,rsq file,2038,5791
UGAv3-1013,8,no trimming,insert,rsq file,1223,5125
UGAv3-1014,8,no trimming,insert,rsq file,2592,6809
UGAv3-1015,8,no trimming,insert,rsq file,2251,5739
UGAv3-1016,8,no trimming,insert,rsq file,1609,2893
UGAv3-1017,8,no trimming,insert,rsq file,14672,21182
UGAv3-1018,8,no trimming,insert,rsq file,6901,18343
UGAv3-1021,8,no trimming,insert,rsq file,1554,5809
UGAv3-1022,8,no trimming,insert,rsq file,7975,11664
UGAv3-1026,8,no trimming,insert,rsq file,6075,9007
UGAv3-1029,8,no trimming,insert,rsq file,12674,23355
UGAv3-1037,8,no trimming,insert,rsq file,21318,27530
UGAv3-1042,8,no trimming,insert,rsq file,5281,10701
UGAv3-1043,8,no trimming,insert,rsq file,3675,10888
UGAv3-1047,8,no trimming,insert,rsq file,13538,19196
UGAv3-1056,8,no trimming,insert,rsq file,5510,7890
UGAv3-1071,8,no trimming,insert,rsq file,3597,12641
UGAv3-1078,8,no trimming,insert,rsq file,3965,12049
UGAv3-1079,8,no trimming,insert,rsq file,1378,2662
UGAv3-1089,8,no trimming,insert,rsq file,3068,5534
UGAv3-1090,8,no trimming,insert,rsq file,6271,10860
UGAv3-1099,8,no trimming,insert,rsq file,1164,2952
UGAv3-1103,8,no trimming,insert,rsq file,12719,13504
UGAv3-1114,8,no trimming,insert,rsq file,757,1627
UGAv3-1128,8,no trimming,insert,rsq file,9041,12192
UGAv3-1134,8,no trimming,insert,rsq file,2512,7620
UGAv3-1135,8,no trimming,insert,rsq file,44902,46642
UGAv3-1141,8,no trimming,insert,rsq file,12123,12731
UGAv3-1142,8,no trimming,insert,rsq file,23342,27124
UGAv3-1149,8,no trimming,insert,rsq file,20633,24395
UGAv3-1154,8,no trimming,insert,rsq file,1627,5664
UGAv3-1162,8,no trimming,insert,rsq file,833,1977
UGAv3-1190,8,no trimming,insert,rsq file,10625,14956
UGAv3-1193,8,no trimming,insert,rsq file,2495,3978
UGAv3-1200,8,no trimming,insert,rsq file,4574,4894
UGAv3-1209,8,no trimming,insert,rsq file,17827,23739
